COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX,Class
0.15735,0.27817,0.61107,0.41522,0.71429,?,?,0.46353,0.5140100000000001,0.46795,Yes
0.42123,0.15814,0.42203999999999997,0.36659,0.57143,0.6,0.29822,0.22956999999999997,?,0.49423,Yes
0.34822,?,0.70002,0.43078999999999995,0.71429,0.53333,?,0.47421,0.53785,0.55385,No
0.02864,0.42527,?,0.37746,0.42857,0.4,0.4759,?,0.45313000000000003,0.33269,No
0.39294,0.2334,0.58602,0.48018,?,0.73333,?,0.40086,0.47881999999999997,0.41795,No
?,0.20135,0.39505,?,?,0.6,0.445,?,?,?,Yes
?,0.29127,?,0.38453000000000004,0.57143,?,0.49836,0.42541,?,?,No
?,?,0.37463,0.35583000000000004,0.5,0.4,?,?,0.39016,0.29486999999999997,No
0.1408,0.25678,0.42436,0.31563,0.64286,?,0.4302,?,0.40667,?,No
0.19773,0.20019,0.47951000000000005,0.34441,0.5,0.33333,0.45929,?,0.42346000000000006,?,No
0.19009,0.27008000000000004,0.34,0.31203000000000003,0.57143,?,0.39863000000000004,0.37638,0.38954,?,No
0.17833,?,0.4688,0.31443000000000004,0.42857,?,0.46183,?,?,?,No
0.14515,0.19646,0.39105,0.29743,0.64286,0.4,0.43993000000000004,0.34318000000000004,0.39696,0.45962,No
0.30172,0.2987,0.44408000000000003,0.37899,0.42857,0.33333,0.43001000000000006,0.42878,0.43059,?,No
0.22529000000000002,0.26286,0.55566,?,0.71429,0.53333,0.47653999999999996,0.41445,?,?,No
0.5501199999999999,0.29175,0.66193,?,0.64286,0.53333,?,0.52076,0.5262,0.54679,No
0.05586,?,?,0.17828,0.35714,0.2,0.56813,0.4135,0.4991,0.30769,No
0.11417000000000001,0.20720999999999998,0.46471,0.29196,0.71429,0.46667,?,?,0.41586999999999996,?,No
0.24875,0.12763,?,0.24073000000000003,?,0.33333,?,?,0.43626000000000004,0.35256,No
?,?,0.4675,0.32256,0.57143,?,0.41625,0.38182,?,0.37885,No
0.33348,0.19258,?,0.4265,0.64286,0.46667,0.49487,?,0.46126999999999996,?,No
0.1341,0.18491,0.34165,0.20559000000000002,0.57143,0.4,0.38603000000000004,?,?,0.50705,No
0.08046,0.24891999999999997,0.48571000000000003,0.19843,0.35714,0.13333,0.5261899999999999,0.39736,?,0.26282,No
0.33793,?,0.56114,0.36624,0.57143,?,0.47841999999999996,0.38992,0.43932,?,No
0.12172999999999999,0.33744,0.48739,0.32825,0.5,0.46667,0.54192,0.40758,0.48207,0.48782,No
0.13304000000000002,?,0.5362,0.31572,0.57143,0.33333,0.53869,0.4617,?,?,No
?,0.12622,0.38934,0.2162,0.64286,0.46667,0.44702,0.3093,0.38538,0.38013,No
0.33303,?,0.5516,0.32325,0.71429,0.66667,0.47868999999999995,0.41322,0.45009,?,No
0.23699,?,0.41153,0.3084,0.5,0.4,0.39829000000000003,0.34836999999999996,0.37658,?,No
0.09655,0.23895999999999998,0.45241000000000003,0.23454,0.57143,0.33333,0.43398000000000003,0.34459,0.39435,0.36795,No
0.11373,0.27142,0.37923,0.32256,0.42857,0.33333,0.44771000000000005,0.36541999999999997,0.41136000000000006,0.37115,No
0.07649,?,?,0.19285,0.71429,0.4,?,0.3134,?,0.38526,No
0.0879,0.30215,0.52277,?,0.78571,0.6,?,?,?,?,No
0.17479,0.25636,0.41648999999999997,?,?,?,0.43287,?,0.40387,0.33526,Yes
?,0.27182,0.57314,0.49003,0.71429,0.66667,0.49758,0.38982,0.44974,0.59103,Yes
0.03818,?,0.3507,0.28463,0.35714,0.33333,?,0.35203,0.36715,?,No
0.27835,0.24219000000000002,?,0.38956,0.64286,0.53333,?,0.39771999999999996,0.45669,0.43013,No
0.025419999999999998,0.3002,0.29533000000000004,0.22633000000000003,0.57143,?,0.34342,0.2961,0.32274,0.60769,No
0.04743,0.45308999999999994,0.48385,0.49713999999999997,?,0.66667,0.68005,?,?,?,No
0.19347,0.19153,0.35668,0.31351999999999997,0.35714,0.4,?,?,0.3202,?,No
